Линия метро, Линия метро, Станция отправления, Станция прибытия, Время проезда в метро, Схема метро, Расстояние, Ссылка на маршрут на карте
Сокольническая линия, Сокольническая линия, Черкизовская, Преображенская площадь, 145, http://metro.yandex.ru/moscow?from=2&to=3&route=0, 2.261341, http://www.yournavigation.org/?flat=55.802988flon=37.744819&tlat=55.796167&tlon=37.715022&v=foot&shortest=1&layer=mapnik
Сокольническая линия, Сокольническая линия, Преображенская площадь, Сокольники, 200, http://metro.yandex.ru/moscow?from=3&to=4&route=0, 2.552784, http://www.yournavigation.org/?flat=55.796167flon=37.715022&tlat=55.789198&tlon=37.679700&v=foot&shortest=1&layer=mapnik
Сокольническая линия, Сокольническая линия, Сокольники, Красносельская, 135, http://metro.yandex.ru/moscow?from=4&to=5&route=0, 1.479296, http://www.yournavigation.org/?flat=55.789198flon=37.679700&tlat=55.779849&tlon=37.666072&v=foot&shortest=1&layer=mapnik
Сокольническая линия, Сокольническая линия, Красносельская, Комсомольская, 115, http://metro.yandex.ru/moscow?from=5&to=6&route=0, 1.067503, http://www.yournavigation.org/?flat=55.779849flon=37.666072&tlat=55.774072&tlon=37.654565&v=foot&shortest=1&layer=mapnik
Сокольническая линия, Сокольническая линия, Комсомольская, Красные ворота, 110, http://metro.yandex.ru/moscow?from=6&to=7&route=0, 0.781895, http://www.yournavigation.org/?flat=55.774072flon=37.654565&tlat=55.768795&tlon=37.648888&v=foot&shortest=1&layer=mapnik
Сокольническая линия, Кольцевая линия, Комсомольская, Комсомольская, 360, http://metro.yandex.ru/moscow?from=6&to=77&route=0, 0.023971, http://www.yournavigation.org/?flat=55.774072flon=37.654565&tlat=55.774072&tlon=37.654565&v=foot&shortest=1&layer=mapnik
Сокольническая линия, Сокольническая линия, Красные ворота, Чистые пруды, 100, http://metro.yandex.ru/moscow?from=7&to=8&route=0, 1.041215, http://www.yournavigation.org/?flat=55.768795flon=37.648888&tlat=55.764794&tlon=37.638683&v=foot&shortest=1&layer=mapnik
Сокольническая линия, Сокольническая линия, Чистые пруды, Лубянка, 115, http://metro.yandex.ru/moscow?from=8&to=9&route=0, 1.102519, http://www.yournavigation.org/?flat=55.764794flon=37.638683&tlat=55.759162&tlon=37.627346&v=foot&shortest=1&layer=mapnik
Сокольническая линия, Калужско-Рижская линия, Чистые пруды, Тургеневская, 180, http://metro.yandex.ru/moscow?from=8&to=92&route=0, 0.168925, http://www.yournavigation.org/?flat=55.764794flon=37.638683&tlat=55.765276&tlon=37.636742&v=foot&shortest=1&layer=mapnik
Сокольническая линия, Люблинская линия, Чистые пруды, Сретенский бульвар, 180, http://metro.yandex.ru/moscow?from=8&to=159&route=0, 0.252101, http://www.yournavigation.org/?flat=55.764794flon=37.638683&tlat=55.766299&tlon=37.636374&v=foot&shortest=1&layer=mapnik
Сокольническая линия, Сокольническая линия, Лубянка, Охотный ряд, 100, http://metro.yandex.ru/moscow?from=9&to=10&route=0, 0.921589, http://www.yournavigation.org/?flat=55.759162flon=37.627346&tlat=55.756523&tlon=37.615327&v=foot&shortest=1&layer=mapnik
Сокольническая линия, Таганско-Краснопресненская линия, Лубянка, Кузнецкий мост, 180, http://metro.yandex.ru/moscow?from=9&to=117&route=0, 0.510161, http://www.yournavigation.org/?flat=55.759162flon=37.627346&tlat=55.761502&tlon=37.624525&v=foot&shortest=1&layer=mapnik
Сокольническая линия, Сокольническая линия, Охотный ряд, Библиотека имени Ленина, 105, http://metro.yandex.ru/moscow?from=10&to=11&route=0, 0.596455, http://www.yournavigation.org/?flat=55.756523flon=37.615327&tlat=55.752501&tlon=37.611482&v=foot&shortest=1&layer=mapnik
Сокольническая линия, Замоскворецкая линия, Охотный ряд, Театральная, 300, http://metro.yandex.ru/moscow?from=10&to=29&route=0, 0.458192, http://www.yournavigation.org/?flat=55.756523flon=37.615327&tlat=55.758808&tlon=37.617734&v=foot&shortest=1&layer=mapnik
Сокольническая линия, Сокольническая линия, Библиотека имени Ленина, Кропоткинская, 115, http://metro.yandex.ru/moscow?from=11&to=12&route=0, 1.184358, http://www.yournavigation.org/?flat=55.752501flon=37.611482&tlat=55.745068&tlon=37.603487&v=foot&shortest=1&layer=mapnik
Сокольническая линия, Арбатско-Покровская линия, Библиотека имени Ленина, Арбатская, 300, http://metro.yandex.ru/moscow?from=11&to=49&route=0, 0.909436, http://www.yournavigation.org/?flat=55.752501flon=37.611482&tlat=55.752131&tlon=37.601519&v=foot&shortest=1&layer=mapnik
Сокольническая линия, Филевская линия, Библиотека имени Ленина, Александровский сад, 180, http://metro.yandex.ru/moscow?from=11&to=68&route=0, 0.305327, http://www.yournavigation.org/?flat=55.752501flon=37.611482&tlat=55.752075&tlon=37.609308&v=foot&shortest=1&layer=mapnik
Сокольническая линия, Серпуховско-Тимирязевская линия, Библиотека имени Ленина, Боровицкая, 360, http://metro.yandex.ru/moscow?from=11&to=144&route=0, 0.412038, http://www.yournavigation.org/?flat=55.752501flon=37.611482&tlat=55.750454&tlon=37.609254&v=foot&shortest=1&layer=mapnik
Сокольническая линия, Сокольническая линия, Кропоткинская, Парк культуры, 130, http://metro.yandex.ru/moscow?from=12&to=13&route=0, 1.358096, http://www.yournavigation.org/?flat=55.745068flon=37.603487&tlat=55.736077&tlon=37.595061&v=foot&shortest=1&layer=mapnik
Сокольническая линия, Сокольническая линия, Парк культуры, Фрунзенская, 150, http://metro.yandex.ru/moscow?from=13&to=14&route=0, 1.638642, http://www.yournavigation.org/?flat=55.736077flon=37.595061&tlat=55.727232&tlon=37.580328&v=foot&shortest=1&layer=mapnik
Сокольническая линия, Кольцевая линия, Парк культуры, Парк культуры, 300, http://metro.yandex.ru/moscow?from=13&to=71&route=0, 0.007105, http://www.yournavigation.org/?flat=55.736077flon=37.595061&tlat=55.736077&tlon=37.595061&v=foot&shortest=1&layer=mapnik
Сокольническая линия, Сокольническая линия, Фрунзенская, Спортивная, 95, http://metro.yandex.ru/moscow?from=14&to=15&route=0, 1.694297, http://www.yournavigation.org/?flat=55.727232flon=37.580328&tlat=55.722761&tlon=37.562227&v=foot&shortest=1&layer=mapnik
Сокольническая линия, Сокольническая линия, Спортивная, Воробьёвы горы, 185, http://metro.yandex.ru/moscow?from=15&to=16&route=0, 1.838454, http://www.yournavigation.org/?flat=55.722761flon=37.562227&tlat=55.710438&tlon=37.559317&v=foot&shortest=1&layer=mapnik
Сокольническая линия, Сокольническая линия, Воробьёвы горы, Университет, 225, http://metro.yandex.ru/moscow?from=16&to=17&route=0, 3.130656, http://www.yournavigation.org/?flat=55.710438flon=37.559317&tlat=55.692440&tlon=37.534532&v=foot&shortest=1&layer=mapnik
Сокольническая линия, Сокольническая линия, Университет, Проспект Вернадского, 180, http://metro.yandex.ru/moscow?from=17&to=18&route=0, 2.54146, http://www.yournavigation.org/?flat=55.692440flon=37.534532&tlat=55.676910&tlon=37.505831&v=foot&shortest=1&layer=mapnik
Сокольническая линия, Сокольническая линия, Проспект Вернадского, Юго-Западная, 170, http://metro.yandex.ru/moscow?from=18&to=19&route=0, 2.299849, http://www.yournavigation.org/?flat=55.676910flon=37.505831&tlat=55.663146&tlon=37.482852&v=foot&shortest=1&layer=mapnik
Замоскворецкая линия, Замоскворецкая линия, Речной вокзал, Водный стадион, 155, http://metro.yandex.ru/moscow?from=20&to=21&route=0, 1.81688, http://www.yournavigation.org/?flat=55.854891flon=37.476231&tlat=55.840209&tlon=37.486616&v=foot&shortest=1&layer=mapnik
Замоскворецкая линия, Замоскворецкая линия, Водный стадион, Войковская, 190, http://metro.yandex.ru/moscow?from=21&to=22&route=0, 4.294278, http://www.yournavigation.org/?flat=55.840209flon=37.486616&tlat=55.818923&tlon=37.497791&v=foot&shortest=1&layer=mapnik
