#OpenBSD 2.1,01-06-2001,01-06-2002
#OpenBSD 2.2,01-06-2001,12-01-2002
#OpenBSD 2.3,04-01-2016,26-02-2016
#OpenBSD 2.4,04-01-2016,26-02-2016
#OpenBSD 2.5,04-01-2016,26-02-2016
#OpenBSD 2.6,04-01-2016,26-02-2016
#OpenBSD 2.7,04-01-2016,26-02-2016
#OpenBSD 2.8,04-01-2016,26-02-2016
#OpenBSD 2.9,04-01-2016,26-02-2016
#OpenBSD 3.0,04-01-2016,26-02-2016
#OpenBSD 3.1,04-01-2016,26-02-2016
#OpenBSD 3.2,04-01-2016,26-02-2016
#OpenBSD 3.3,04-01-2016,26-02-2016
#OpenBSD 3.4,04-01-2016,26-02-2016
#OpenBSD 3.5,04-01-2016,26-02-2016
#OpenBSD 3.6,04-01-2016,26-02-2016
#OpenBSD 3.7,04-01-2016,26-02-2016
#OpenBSD 3.8,04-01-2016,26-02-2016
#OpenBSD 3.9,04-01-2016,26-02-2016
OpenBSD 4.0,01-10-2006,01-11-2006
OpenBSD 4.1,01-11-2006,01-05-2007
OpenBSD 4.2,01-05-2007,01-11-2007
OpenBSD 4.3,01-11-2007,01-05-2008
OpenBSD 4.4,01-05-2008,01-11-2008
OpenBSD 4.5,01-11-2008,01-05-2009
OpenBSD 4.6,01-05-2009,19-10-2009
OpenBSD 4.7,19-10-2009,19-05-2010
OpenBSD 4.8,19-05-2010,01-11-2010
OpenBSD 4.9,01-11-2010,01-05-2011
OpenBSD 5.0,01-05-2011,01-11-2011
OpenBSD 5.1,01-11-2011,01-05-2012
OpenBSD 5.2,01-05-2012,01-11-2012
OpenBSD 5.3,01-11-2012,01-05-2013
OpenBSD 5.4,01-05-2013,01-11-2013
OpenBSD 5.5,01-11-2013,01-05-2014
OpenBSD 5.6,01-05-2014,01-11-2014
OpenBSD 5.7,01-11-2014,01-05-2015
OpenBSD 5.8,01-05-2015,18-10-2015
OpenBSD 5.9,18-10-2015,29-03-2016
OpenBSD 6.0,29-03-2016,01-09-2016
OpenBSD 6.1,01-09-2016,11-05-2017
OpenBSD 6.2,11-05-2017,09-10-2017
